num_envs,depth,step_fps,wallclock_fps,play_time_s,update_time_s,epoch_time_s,total_min
2048,False,60517,16592,0.673,0.840,1.995,N/A
2048,True,2413,1893,14.382,2.015,17.362,N/A
4096,False,104455,27528,0.790,1.145,2.434,N/A
4096,True,2196,1938,30.649,2.101,33.908,N/A
8192,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
8192,True,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
16384,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
16384,True,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
24576,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
24576,True,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
